Date,KKR,MS,MSFT,SPY
2017-09-01,18.98,46.189999,73.940002,247.839996
2017-09-05,18.35,44.889999,73.610001,246.059998
2017-09-06,18.32,45.07,73.400002,246.899994
2017-09-07,18.26,44.07,74.339996,246.869995
2017-09-08,18.16,44.009998,73.980003,246.580002
2017-09-11,18.66,45.16,74.760002,249.210007
2017-09-12,18.76,45.75,74.68,250.050003
2017-09-13,18.58,46.220001,75.209999,250.169998
2017-09-14,18.700001,46.419998,74.769997,250.089996
2017-09-15,18.93,46.599998,75.309998,249.190002
2017-09-18,18.940001,47.32,75.160004,249.720001
2017-09-19,19.09,47.669998,75.440002,249.970001
2017-09-20,19.25,47.889999,74.940002,250.059998
2017-09-21,19.309999,48.259998,74.209999,249.389999
2017-09-22,19.73,48.220001,74.410004,249.440002
2017-09-25,19.709999,47.740002,73.260002,248.929993
2017-09-26,19.799999,47.459999,73.260002,249.080002
2017-09-27,19.91,48.07,73.849998,250.050003
2017-09-28,19.99,48.150002,73.870003,250.350006
2017-09-29,20.33,48.169998,74.489998,251.229996
